# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:05:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/8qagaqkr.json
# init = 2 (Default)
# random
#   seed = 66003
# output
#   file = /home/lab5/output/code3-20230416110526_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,0.000175255,2.49976,2.49944,2.49899,2.49961,2.49941,2.50153,2.50015,2.50103,2.49846,2.49924,23.9692,25.8687,29.3706,31.8228,33.7284,35.1224,34.128,36.2935,44.7519,42.2996,21,30,30,28,46,33,37,37,55,32
0,0,0.000118182,2.49919,2.50056,2.50071,2.50041,2.49948,2.49914,2.49937,2.49886,2.50019,2.50019,19.2158,20.262,22.083,23.2934,24.2057,24.832,24.3839,25.3889,29.3309,28.2223,20,25,26,31,24,25,22,30,22,29
0,0,0.000111812,2.50156,2.5006,2.49937,2.50096,2.50179,2.50072,2.50042,2.49941,2.50127,2.50345,18.7931,19.7152,21.3585,22.5065,23.3796,23.9335,23.5128,24.4154,28.0047,27.061,18,15,24,30,27,26,24,22,30,40
0,0,0.000136497,2.50094,2.49817,2.50085,2.50034,2.50136,2.4997,2.49958,2.50071,2.50117,2.49862,20.6606,21.8699,24.2162,25.7514,26.9763,27.7486,27.161,28.5067,33.6413,32.0953,17,22,21,19,28,33,33,31,40,37
0,0,0.000171376,2.50141,2.49965,2.49967,2.50055,2.50008,2.50054,2.50066,2.49984,2.49949,2.49805,23.6518,25.4463,28.8232,31.1828,32.9986,34.2762,33.3761,35.3859,43.5248,41.1003,21,32,28,38,28,43,42,31,43,39
0,0,0.000106198,2.49968,2.50144,2.50061,2.49974,2.50024,2.50204,2.5007,2.49955,2.50016,2.50015,18.3554,19.2612,20.7899,21.7979,22.5938,23.1671,22.7558,23.5806,26.8302,25.9169,18,15,20,18,18,25,22,21,22,21
0,0,7.87629e-05,2.50024,2.50055,2.4995,2.50031,2.49974,2.49927,2.50136,2.50162,2.50022,2.50003,16.5188,17.1027,18.0915,18.7653,19.253,19.5788,19.3801,19.9208,21.8821,21.3233,26,13,15,18,17,24,15,18,30,21
0,0,6.38581e-05,2.50078,2.49878,2.49924,2.5002,2.50054,2.50171,2.50134,2.49862,2.50021,2.50049,15.603,16.0125,16.7812,17.2914,17.6689,17.9388,17.7544,18.1018,19.587,19.1889,16,14,19,8,27,19,19,21,24,24
0,0,0.00010743,2.50086,2.49961,2.49784,2.4999,2.49817,2.49779,2.49872,2.50158,2.50102,2.49908,18.4647,19.3281,20.8613,21.949,22.7093,23.241,22.876,23.8102,27.1003,26.117,31,18,26,14,20,23,22,25,26,16
0,0,6.55286e-05,2.5008,2.50094,2.49833,2.50058,2.49944,2.50048,2.50028,2.50048,2.49906,2.49875,15.7044,16.1627,16.9073,17.457,17.8218,18.0982,17.9106,18.3249,19.809,19.3842,16,10,16,15,19,11,11,19,15,18
0,0,0.000219283,2.49915,2.4999,2.50076,2.50139,2.49801,2.50099,2.50097,2.49921,2.49948,2.49904,28.3958,31.2749,36.7115,40.58,43.5071,45.7833,44.2429,47.6464,62.1415,57.8284,28,24,40,32,45,53,43,55,63,62
0,0,0.000124819,2.50048,2.49916,2.49972,2.50082,2.49976,2.50097,2.50129,2.49821,2.50077,2.50036,19.7402,20.8193,22.8098,24.1662,25.1653,25.894,25.4026,26.4423,30.832,29.5905,23,20,29,33,32,25,23,22,31,27
