# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:10:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/2m6_nr5b.json
# init = 2 (Default)
# random
#   seed = 15636
# output
#   file = /home/lab5/output/code1-20230416111039_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99991,0.000247483,19.2197,21.4149,25.6363,28.6847,31.1488,32.8837,31.6383,34.4668,46.5,42.8958,28,21,32,45,27,24,38,33,49,41
0,0,2.00006,0.000178004,14.6977,15.8867,18.0815,19.6034,20.8006,21.6274,21.0351,22.3714,27.7481,26.1838,22,14,24,25,13,15,20,27,25,26
0,0,1.9999,0.000227404,17.785,19.6432,23.1745,25.695,27.7163,29.1316,28.1162,30.4178,40.0524,37.1905,16,22,26,22,28,31,20,38,33,34
0,0,2.00001,0.000197944,15.8738,17.308,19.9869,21.8662,23.3561,24.3908,23.6491,25.3256,32.1794,30.1685,12,24,16,26,31,19,22,27,36,29
0,0,2.00005,0.000258552,20.0622,22.4619,27.1069,30.4831,33.2239,35.1594,33.7695,36.9298,50.4945,46.4129,16,25,20,30,28,36,36,43,54,40
0,0,1.99998,0.000204697,16.2929,17.8175,20.6765,22.6902,24.2907,25.4044,24.606,26.412,33.8352,31.651,19,19,21,25,26,28,15,24,33,34
0,0,2.00008,0.000195934,15.7521,17.1602,19.7872,21.6281,23.0863,24.0984,23.373,25.0125,31.7044,29.7426,15,17,19,22,17,17,20,21,39,32
0,0,1.99995,0.000228335,17.85,19.7231,23.2845,25.8278,27.8682,29.2972,28.272,30.5962,40.3326,37.4394,12,18,25,29,18,32,29,28,42,40
0,0,2.00001,0.00032506,25.9382,29.8973,37.8673,43.889,48.9064,52.5149,49.9183,55.8605,82.7795,74.4562,23,28,42,45,49,42,57,57,71,79
0,0,2.00017,0.000318939,25.336,29.1252,36.7256,42.4477,47.204,50.6189,48.1621,53.7812,79.1101,71.2979,21,24,45,42,44,46,56,59,62,82
0,0,1.99998,0.000210511,16.6629,18.2685,21.2896,23.4247,25.1257,26.3112,25.4612,27.3849,35.3292,32.986,13,22,21,27,17,24,19,31,38,36
0,0,2.00007,0.000194362,15.6566,17.0445,19.6313,21.4424,22.8761,23.8708,23.1579,24.7688,31.3359,29.412,13,26,13,21,23,18,26,21,28,19
0,0,2.00007,0.000281956,21.9608,24.8405,30.4918,34.6558,38.0673,40.492,38.7496,42.7204,60.0899,54.8129,28,28,30,41,41,31,44,41,43,57
0,0,1.99984,0.000203479,16.2141,17.722,20.5474,22.536,24.1159,25.2149,24.4271,26.2088,33.5255,31.3737,15,14,16,22,25,24,23,27,29,25
0,0,1.99999,8.99237e-05,10.458,10.8771,11.6119,12.0958,12.4635,12.7114,12.5343,12.9304,14.4168,14.0003,12,17,9,11,13,14,10,11,14,18
0,0,2.00002,7.69942e-05,9.9488,10.2892,10.8816,11.2687,11.5614,11.7579,11.6176,11.9312,13.0962,12.7716,7,12,5,12,16,8,11,19,5,9
0,0,2.00021,0.000253446,19.6736,21.9778,26.4244,29.6467,32.2575,34.0985,32.7767,35.7807,48.6221,44.7663,16,20,31,26,37,39,31,39,40,44
0,0,2.0001,0.000319243,25.364,29.1612,36.7791,42.5153,47.284,50.7082,48.2446,53.8791,79.2832,71.4468,26,24,41,53,34,51,54,49,84,64
0,0,2.00005,0.000157835,13.5959,14.5667,16.3379,17.5516,18.4987,19.1493,18.6836,19.7323,23.8847,22.6868,25,19,17,28,14,16,16,12,22,17
0,0,2.00001,8.61727e-05,10.3077,10.7033,11.3953,11.8499,12.1949,12.4272,12.2613,12.6323,14.0206,13.6322,6,9,10,18,9,9,9,12,16,10
0,0,1.99995,0.000258764,20.0765,22.4801,27.133,30.5154,33.2615,35.2008,33.8082,36.9747,50.569,46.4781,26,19,27,33,37,33,29,33,57,42
0,0,2.00003,0.000119209,11.7111,12.3373,13.4542,14.2025,14.7776,15.1685,14.889,15.5159,17.9235,17.2403,12,18,19,14,11,20,14,15,19,15
0,0,1.99977,0.000183221,14.9925,16.2423,18.5565,20.166,21.4347,22.3123,21.6836,23.1027,28.8366,27.1647,13,13,13,24,22,21,24,20,34,38
0,0,1.99999,-3.3684e-05,6.48746,6.39266,6.23802,6.14335,6.07482,6.03018,6.06195,5.99171,5.75241,5.81592,8,8,11,6,8,9,7,6,5,9
0,0,2,0.000286515,22.3495,25.3305,31.1965,35.5303,39.0872,41.6184,39.7991,43.9468,62.1569,56.6141,16,32,32,43,37,34,35,44,56,57
0,0,1.99997,0.000205612,16.3503,17.8875,20.7715,22.8038,24.4199,25.5446,24.7382,26.5623,34.0654,31.8569,18,15,24,29,23,20,23,23,39,44
0,0,1.99997,0.000111688,11.375,11.944,12.9543,13.6281,14.1445,14.4947,14.2444,14.8056,16.948,16.342,10,8,11,15,14,12,18,12,20,14
0,0,2.0001,8.96317e-06,7.65017,7.68019,7.7304,7.76192,7.78512,7.80042,7.78952,7.81372,7.89892,7.87587,10,6,11,9,12,10,12,9,3,10
0,0,1.99987,0.000186629,15.1928,16.4838,18.8792,20.5485,21.8661,22.7783,22.1247,23.6005,29.5797,27.8337,11,18,23,18,23,25,22,27,28,25
0,0,1.99989,0.000103536,11.0215,11.5316,12.4331,13.0315,13.4886,13.7979,13.5769,14.072,15.9502,15.4208,12,12,14,19,7,16,14,6,18,13
0,0,1.99984,0.00018078,14.853,16.0739,18.3316,19.8996,21.1344,21.9879,21.3765,22.7563,28.3204,26.6996,9,14,18,13,21,19,31,35,36,20
0,0,1.99977,0.000251934,19.5503,21.8257,26.2127,29.389,31.961,33.7739,32.4723,35.4299,48.0574,44.2682,9,17,24,40,25,27,39,40,42,42
0,0,1.99995,0.000182807,14.9713,16.2164,18.5213,20.1241,21.3872,22.2608,21.6349,23.0476,28.7534,27.0899,18,25,12,23,14,24,17,23,31,25
0,0,1.99988,0.000272796,21.1934,23.8767,29.1142,32.9528,36.0865,38.308,36.712,40.346,56.1246,51.3489,25,19,28,42,43,43,23,45,49,47
0,0,1.99987,0.000161118,13.767,14.7712,16.6068,17.8671,18.8519,19.529,19.0442,20.136,24.4704,23.2183,9,14,19,19,26,18,19,23,26,19
0,0,1.99987,0.00016191,13.8091,14.8216,16.6731,17.9448,18.9389,19.6225,19.1331,20.2355,24.6148,23.3493,14,15,16,20,22,13,24,20,35,21
0,0,2,0.000242792,18.8762,20.9891,25.041,27.9591,30.3135,31.9689,30.7807,33.4782,44.9106,41.4929,24,24,22,28,30,35,33,31,37,35
0,0,2.00006,7.75113e-05,9.96901,10.3125,10.9103,11.301,11.5965,11.7951,11.6533,11.9701,13.147,12.819,7,10,14,6,9,5,11,12,13,10
0,0,1.99987,0.00027218,21.1428,23.8132,29.0238,32.8412,35.9569,38.1654,36.5788,40.191,55.8674,51.1238,18,20,31,33,34,25,46,39,51,42
0,0,2.00006,0.000196109,15.7625,17.1729,19.8044,21.6485,23.1094,24.1236,23.3967,25.0394,31.7452,29.7792,11,17,20,22,16,22,28,33,37,28
0,0,1.9998,0.000103832,11.0332,11.5454,12.4506,13.0516,13.5107,13.8215,13.5994,14.0969,15.984,15.452,14,11,10,8,10,13,7,9,16,10
0,0,2.00002,0.000233904,18.2395,20.2024,23.9472,26.6302,28.7873,30.3004,29.2147,31.6774,42.0402,38.9537,17,9,20,27,32,29,32,16,46,31
0,0,1.99999,0.00021737,17.1104,18.8154,22.0366,24.3222,26.1481,27.4229,26.5086,28.5792,37.1772,34.6339,17,24,15,26,32,39,26,28,30,31
0,0,1.99993,0.000218236,17.1668,18.8846,22.1316,24.4367,26.2787,27.5651,26.6425,28.7321,37.4154,34.846,14,17,21,25,26,27,24,40,34,33
0,0,2.0001,0.000202617,16.1644,17.6609,20.4638,22.4355,24.0015,25.0905,24.3098,26.0752,33.3198,31.19,20,20,24,19,19,22,25,23,21,37
0,0,1.99995,0.000384781,32.6668,38.6485,51.1235,60.8818,69.2046,75.289,70.9027,80.9994,129.028,113.817,15,48,46,60,73,92,74,75,129,129
0,0,1.99995,0.000110845,11.3378,11.9005,12.8992,13.5649,14.075,14.4208,14.1736,14.7278,16.8417,16.244,13,10,19,18,9,12,14,15,7,17
0,0,1.99987,7.43477e-06,7.60336,7.6281,7.66945,7.69538,7.71445,7.72702,7.71807,7.73795,7.80787,7.78897,13,12,6,10,10,7,7,9,4,8
0,0,1.99997,0.000238696,18.5794,20.6221,24.5299,27.3376,29.5992,31.1877,30.0477,32.6346,43.5625,40.3012,18,36,29,34,28,31,35,31,51,39
0,0,2.00006,0.000287287,22.4178,25.4165,31.32,35.6834,39.2657,41.8155,39.9829,44.1614,62.5189,56.9295,27,33,26,48,41,54,49,49,72,65
0,0,2.00013,0.000207524,16.4742,18.0381,20.9755,23.0478,24.6969,25.8452,25.0219,26.8846,34.5586,32.298,18,16,26,18,27,20,25,26,43,36
0,0,2.00008,0.000110223,11.3121,11.8703,12.8607,13.5206,14.0261,14.3688,14.1238,14.6729,16.7663,16.1745,8,16,11,12,9,13,19,13,16,20
0,0,2.0001,0.000201875,16.1181,17.6046,20.3875,22.3444,23.8981,24.9784,24.204,25.9551,33.1365,31.0259,19,17,21,21,25,31,25,31,28,31
0,0,1.99978,0.000209069,16.567,18.1519,21.1316,23.2356,24.9109,26.078,25.2412,27.1347,34.9454,32.643,13,21,28,21,22,23,30,28,24,30
0,0,1.99999,0.00022419,17.5672,19.3754,22.8052,25.2486,27.2057,28.5748,27.5927,29.8183,39.1105,36.3541,10,21,16,24,33,24,32,23,37,38
0,0,1.99973,0.000279197,21.7208,24.5394,30.0618,34.1244,37.4492,39.8104,38.1137,41.9793,58.8507,53.7308,23,23,22,35,41,44,38,47,54,62
0,0,2.00002,0.000141228,12.7507,13.5624,15.0289,16.024,16.7956,17.3232,16.9457,17.7944,21.1104,20.1606,18,14,8,13,21,18,17,18,19,21
0,0,2.00004,0.000217127,17.0953,18.7968,22.0109,24.2912,26.1126,27.3843,26.4722,28.5376,37.1122,34.5761,20,19,20,26,21,30,21,23,34,43
0,0,2.00006,0.000206067,16.3807,17.9242,20.8211,22.863,24.4869,25.6173,24.8069,26.6402,34.1842,31.9632,19,15,25,14,33,20,25,21,40,38
0,0,2.00005,0.000299516,23.502,26.7886,33.3055,38.1568,42.1588,45.0169,42.9619,47.653,68.4676,62.0982,20,26,26,29,46,34,42,39,59,59
0,0,2.00014,0.000123832,11.9234,12.5864,13.7721,14.5685,15.1818,15.5992,15.3007,15.9705,18.5521,17.818,11,13,12,17,21,9,20,21,23,20
0,0,2.00017,0.000230517,18.0052,19.9135,23.5467,26.1445,28.2304,29.6922,28.6434,31.0216,41.0015,38.0332,24,12,27,31,26,29,22,38,33,37
0,0,2.00008,0.000227927,17.8243,19.6911,23.2398,25.7735,27.8058,29.229,28.208,30.5226,40.2157,37.3359,17,21,27,25,15,28,33,32,33,25
0,0,1.99999,0.000259557,20.139,22.5578,27.2426,30.6496,33.4166,35.3711,33.9675,37.1592,50.8701,46.7427,19,26,42,22,39,27,34,27,51,49
0,0,1.99992,0.00021939,17.2433,18.9784,22.2601,24.5915,26.4553,27.7574,26.8235,28.9389,37.7373,35.1325,22,14,21,28,19,26,30,25,37,41
0,0,1.99996,0.000143038,12.8394,13.6676,15.1654,16.1829,16.9724,17.5125,17.126,17.995,21.3952,20.4205,9,11,18,14,14,15,13,14,26,24
0,0,1.99994,0.000319218,25.3577,29.1537,36.7689,42.5031,47.27,50.6929,48.2303,53.8626,79.2566,71.4234,31,39,33,37,46,45,53,48,84,60
0,0,2.00006,4.06053e-05,8.64441,8.79917,9.0628,9.23142,9.35709,9.44067,9.38106,9.51378,9.99289,9.86149,11,10,7,13,10,14,9,5,15,8
0,0,2.00009,0.000258653,20.0707,22.4725,27.1217,30.5011,33.2446,35.1821,33.7908,36.9543,50.5343,46.4479,25,15,35,26,44,33,33,38,49,45
0,0,2.00014,0.000247329,19.2128,21.4057,25.6224,28.6672,31.1282,32.8607,31.617,34.4418,46.4575,42.8587,22,20,22,26,31,37,40,34,31,40
0,0,2.00019,0.000174763,14.5167,15.6688,17.7916,19.2607,20.4149,21.2114,20.6409,21.9275,27.0911,25.5908,10,11,21,28,25,26,23,20,26,30
0,0,1.99988,0.000271733,21.1066,23.7678,28.959,32.7613,35.864,38.0631,36.4833,40.0798,55.6828,50.9623,25,24,32,31,48,33,38,43,48,48
0,0,1.99987,0.00023361,18.216,20.1739,23.9083,26.5833,28.7339,30.2421,29.1599,31.6147,41.9421,38.8666,14,20,26,23,28,32,35,27,41,37
0,0,2.00006,0.000171508,14.3334,15.449,17.5005,18.9176,20.0295,20.7961,20.2471,21.4849,26.44,25.0022,18,13,16,17,18,16,21,12,27,19
0,0,1.99993,0.000319837,25.4181,29.231,36.883,42.647,47.4399,50.8819,48.4055,54.0698,79.6211,71.7374,29,32,34,45,40,48,48,48,77,77
0,0,2.00003,0.000129847,12.2023,12.9147,14.1933,15.0551,15.7204,16.1738,15.8495,16.5778,19.3982,18.5942,19,15,14,10,10,10,13,17,24,20
0,0,2.00001,0.000266885,20.7177,23.2806,28.2656,31.9065,34.872,36.9709,35.4632,38.894,53.7192,49.2429,19,32,26,26,45,39,31,44,58,39
0,0,2.00012,0.000354909,29.1115,33.9955,44.0025,51.6958,58.1811,62.8836,59.4966,67.2703,103.354,92.0616,32,29,41,53,54,72,75,59,85,91
0,0,1.99998,0.000203932,16.2447,17.7589,20.597,22.5951,24.1828,25.2873,24.4955,26.2863,33.6431,31.4792,12,23,17,18,23,29,23,26,33,39
0,0,2.00004,0.000238729,18.5831,20.6265,24.5358,27.3445,29.6071,31.1962,30.0558,32.6438,43.5765,40.3137,21,21,21,29,34,34,41,29,38,43
0,0,1.99985,0.000197826,15.864,17.2965,19.9719,21.8486,23.3364,24.3696,23.629,25.303,32.1462,30.1385,17,16,21,16,19,31,18,22,23,30
0,0,1.99999,0.000184584,15.075,16.3414,18.6882,20.3218,21.6101,22.5015,21.8628,23.3047,29.1368,27.4352,11,17,15,16,17,30,30,23,29,27
0,0,1.99997,4.63425e-05,8.83738,9.01817,9.32718,9.5255,9.67364,9.77232,9.70192,9.85874,10.4274,10.271,4,11,4,4,10,10,11,9,1,4
0,0,2.00003,0.000194255,15.6495,17.036,19.6201,21.429,22.861,23.8545,23.1425,24.7514,31.3097,29.3885,13,10,21,20,22,24,27,20,26,17
0,0,2.00007,0.00038328,32.4819,38.4046,50.7455,60.3905,68.6117,74.6195,70.2886,80.2563,127.612,112.623,29,34,60,53,62,87,72,70,140,106
0,0,1.9999,0.000119058,11.7027,12.3277,13.4423,14.1888,14.7627,15.1526,14.8738,15.4993,17.901,17.2195,12,13,16,12,11,14,18,16,14,22
0,0,1.99996,0.000272081,21.1366,23.8052,29.0119,32.8264,35.9395,38.146,36.5608,40.1699,55.8313,51.0924,17,17,31,37,38,48,36,47,56,49
0,0,2.00002,0.000127611,12.0973,12.7911,14.0345,14.8716,15.5172,15.957,15.6425,16.3486,19.0783,18.3009,9,14,11,19,12,14,22,14,15,23
0,0,2.00006,0.000348873,28.4389,33.1226,42.6849,50.0105,56.1714,60.6313,57.4197,64.7865,98.8134,88.1907,20,30,48,64,56,63,40,78,105,102
0,0,2.00017,0.000274889,21.3717,24.0996,29.4307,33.3427,36.5389,38.8061,37.1772,40.8868,57.0211,52.1335,25,18,28,36,44,37,32,30,57,51
0,0,2.00005,0.00026325,20.4295,22.9202,27.7546,31.2781,34.1438,36.17,34.7147,38.0252,52.2887,47.9885,26,20,27,20,38,44,32,34,36,43
0,0,1.99988,0.000216626,17.0595,18.7533,21.952,24.2207,26.0324,27.2972,26.3901,28.4441,36.9682,34.4476,17,22,35,21,28,27,26,33,37,45
