# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:05:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/8qagaqkr.json
# init = 2 (Default)
# random
#   seed = 66003
# output
#   file = /home/lab5/output/code3-20230416110526_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,4.40482e-05,2.50113,2.49939,2.49965,2.50069,2.50111,2.49874,2.50135,2.50006,2.49871,2.50106,14.4586,14.714,15.1967,15.5199,15.7558,15.8709,15.8034,16.0254,16.8798,16.6783,11,9,18,13,20,19,18,15,21,14
0,0,0.00014527,2.49987,2.49933,2.50029,2.49907,2.49934,2.50146,2.4995,2.4995,2.501,2.50121,21.35,22.7369,25.2939,26.9853,28.3305,29.3083,28.5955,30.0696,35.9018,34.2485,20,26,26,29,27,27,31,33,36,34
0,0,0.000121447,2.49968,2.50133,2.49897,2.49986,2.50038,2.50125,2.49933,2.50006,2.50001,2.50008,19.4691,20.5643,22.4094,23.7008,24.6918,25.3796,24.8554,25.9409,30.046,28.8814,12,16,24,18,21,22,24,28,32,31
0,0,9.29123e-05,2.49948,2.49921,2.49984,2.50021,2.50061,2.50112,2.50057,2.50047,2.49947,2.49999,17.4336,18.1512,19.4319,20.2764,20.9221,21.363,21.044,21.7293,24.2905,23.5782,20,20,10,17,20,21,19,18,22,30
0,0,7.72851e-05,2.49837,2.49897,2.50194,2.4991,2.49967,2.50007,2.50134,2.50125,2.50095,2.501,16.3941,16.9675,18.0015,18.5914,19.087,19.4205,19.2121,19.731,21.6588,21.1209,10,21,15,18,23,13,17,16,20,22
0,0,4.57996e-05,2.50183,2.49903,2.49978,2.5014,2.4977,2.50029,2.49913,2.49952,2.50046,2.50137,14.5669,14.8199,15.3331,15.6806,15.8628,16.0644,15.9315,16.1923,17.131,16.8925,8,20,13,12,15,16,14,19,15,20
0,0,0.000234325,2.49943,2.50082,2.50293,2.49956,2.50018,2.50236,2.49989,2.50105,2.50148,2.4992,30.1033,33.3953,39.6813,43.9872,47.5862,50.2015,48.2801,52.4182,69.6319,64.3638,22,34,49,45,50,32,53,51,69,68
0,0,0.000224351,2.49952,2.50018,2.49998,2.49865,2.49996,2.49965,2.50126,2.49994,2.49862,2.49926,28.9679,31.9729,37.6297,41.609,44.8956,47.1419,45.5939,49.2089,64.4713,59.9625,18,32,46,41,44,41,47,56,68,72
0,0,8.0194e-05,2.49997,2.5,2.49887,2.5023,2.49931,2.49863,2.50108,2.50016,2.50191,2.49937,16.606,17.1987,18.2106,18.9507,19.4055,19.7359,19.5384,20.0696,22.1534,21.527,17,17,16,19,18,29,21,24,24,19
0,0,0.000102185,2.50114,2.49942,2.50344,2.49994,2.5005,2.50103,2.49917,2.49895,2.49931,2.49996,18.0995,18.8934,20.4324,21.3278,22.0785,22.5901,22.1915,22.9851,26.0196,25.1835,17,16,27,20,15,23,23,23,27,26
0,0,4.1921e-05,2.49942,2.49979,2.50117,2.49976,2.49994,2.50077,2.5007,2.49958,2.4999,2.49949,14.3158,14.5858,15.0579,15.3257,15.5439,15.7003,15.5968,15.8071,16.6348,16.4023,16,12,12,16,18,16,17,19,17,19
0,0,0.000154995,2.49888,2.50039,2.50039,2.49898,2.50106,2.49886,2.50005,2.50004,2.50207,2.49931,22.1452,23.7331,26.5637,28.4601,30.03,30.9987,30.2942,31.9629,38.6344,36.6295,16,22,24,30,20,31,42,30,45,39
0,0,7.12268e-05,2.50012,2.50068,2.49835,2.50024,2.50011,2.49993,2.50047,2.50094,2.49902,2.49892,16.0429,16.5594,17.3988,18.0047,18.4346,18.7209,18.5241,18.9952,20.6651,20.1888,16,23,11,24,18,16,23,16,23,22
0,0,0.000106179,2.49885,2.49925,2.49926,2.49988,2.49819,2.50037,2.50007,2.50085,2.50207,2.49974,18.3389,19.2176,20.76,21.7986,22.545,23.1259,22.7391,23.6083,26.8777,25.903,14,17,22,21,23,25,22,23,31,20
0,0,0.000185323,2.49918,2.49996,2.49944,2.50164,2.49983,2.50018,2.49862,2.5004,2.50035,2.50018,24.9054,27.0273,30.9094,33.6967,35.7767,37.2717,36.1531,38.6161,48.3206,45.4801,21,31,42,27,39,34,42,31,57,48
0,0,0.000104627,2.50018,2.49809,2.49967,2.50085,2.50176,2.49925,2.50045,2.50057,2.50162,2.49942,18.2534,19.0674,20.607,21.635,22.4224,22.8845,22.541,23.3748,26.5574,25.6105,15,33,20,27,18,12,27,21,22,22
0,0,0.000133082,2.50155,2.49985,2.50088,2.50122,2.5004,2.49967,2.49997,2.50025,2.49949,2.49914,20.4024,21.5873,23.8048,25.2961,26.4206,27.182,26.6315,27.8944,32.7429,31.342,30,16,25,29,36,21,26,29,29,35
0,0,4.57219e-05,2.49829,2.49861,2.4997,2.49799,2.49924,2.50093,2.49986,2.49839,2.49934,2.49961,14.5112,14.8087,15.3258,15.6207,15.8802,16.067,15.9357,16.166,17.1019,16.8534,16,18,15,16,17,21,14,15,16,20
0,0,0.0001083,2.50037,2.49947,2.49927,2.49865,2.49949,2.49779,2.50015,2.50065,2.50032,2.50019,18.5177,19.3978,20.9826,22.0263,22.8545,23.3633,23.026,23.9172,27.2572,26.308,17,16,22,15,30,21,19,18,35,30
0,0,7.95637e-05,2.49912,2.50078,2.49966,2.50108,2.50128,2.49963,2.50239,2.50068,2.50025,2.49933,16.5515,17.1655,18.1674,18.8623,19.3726,19.6807,19.4917,20.0015,22.0134,21.4299,15,20,16,16,23,21,14,23,26,17
0,0,0.00011031,2.4992,2.49959,2.49892,2.49935,2.49982,2.50109,2.49902,2.50077,2.49926,2.50058,18.6404,19.5686,21.1882,22.2861,23.1306,23.7264,23.2733,24.2211,27.6381,26.697,16,20,14,18,28,24,27,26,28,18
0,0,0.00014319,2.50014,2.49949,2.50115,2.49972,2.4992,2.50076,2.49977,2.50037,2.50005,2.499,21.1847,22.538,25.0522,26.6968,27.986,28.9226,28.2558,29.7088,35.3175,33.6713,17,27,30,20,20,26,34,28,39,35
0,0,0.000106877,2.49989,2.49933,2.50158,2.50165,2.50097,2.50051,2.49947,2.50001,2.49857,2.50154,18.4075,19.2768,20.8812,21.9209,22.6997,23.2267,22.8188,23.6913,26.9232,26.0787,22,12,26,23,31,26,30,19,22,27
0,0,4.53643e-05,2.5009,2.50074,2.49847,2.4993,2.50132,2.49837,2.50007,2.49959,2.49929,2.50002,14.529,14.8175,15.2796,15.6105,15.8801,15.9914,15.9057,16.1495,17.0556,16.8175,18,11,21,16,9,10,16,9,13,17
0,0,2.77441e-05,2.50187,2.49982,2.4988,2.50067,2.50008,2.50066,2.49996,2.49939,2.49882,2.49942,13.5861,13.7236,13.9889,14.1928,14.316,14.4117,14.3395,14.4694,14.9549,14.8292,17,12,10,14,19,12,10,13,15,11
0,0,0.000188933,2.49984,2.50121,2.49793,2.49894,2.50224,2.50118,2.50059,2.5006,2.49989,2.50027,25.2716,27.4843,31.4278,34.2771,36.6236,38.1303,37.0011,39.501,49.6118,46.6659,28,32,26,43,42,39,32,30,55,57
0,0,6.12624e-05,2.49977,2.50147,2.49981,2.49954,2.50027,2.4998,2.49949,2.50042,2.49994,2.49997,15.4318,15.8775,16.573,17.0358,17.3996,17.6263,17.4532,17.8438,19.2075,18.8283,13,18,18,15,11,20,36,21,12,26
0,0,0.000111308,2.49974,2.49972,2.50021,2.50053,2.49923,2.50049,2.49858,2.50185,2.49998,2.49977,18.7225,19.6553,21.3223,22.4346,23.2517,23.8554,23.4001,24.3985,27.8638,26.8654,17,19,23,31,20,22,21,19,37,28
