# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 10:46:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/cg9987f_.json
# init = 2 (Default)
# random
#   seed = 45806
# output
#   file = /home/lab5/output/code3-20230416104642_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,0.000142846,2.50029,2.49968,2.50058,2.49939,2.50001,2.50017,2.50033,2.49992,2.49945,2.49976,21.1598,22.509,24.9949,26.6379,27.9527,28.8456,28.2145,29.632,35.2062,33.6149,24,23,24,24,31,24,28,27,30,31
0,0,9.98163e-05,2.49969,2.49906,2.50096,2.50239,2.50047,2.50051,2.49923,2.49882,2.49977,2.50046,17.9086,18.6952,20.1405,21.1045,21.7759,22.258,21.8862,22.6458,25.5773,24.7754,15,19,12,27,17,21,27,28,20,33
0,0,6.65363e-05,2.49909,2.49964,2.50125,2.49988,2.49877,2.50093,2.49928,2.49944,2.50023,2.49971,15.7386,16.212,17.0428,17.5414,17.9144,18.2168,17.9989,18.421,19.9813,19.5424,16,24,25,23,20,14,23,16,16,25
0,0,0.000147142,2.50087,2.49998,2.49992,2.49993,2.5007,2.49973,2.49932,2.50071,2.50127,2.50073,21.5263,22.9356,25.5236,27.287,28.6795,29.59,28.9067,30.4587,36.4148,34.6905,19,13,18,34,35,38,34,28,36,37
0,0,0.000142167,2.50004,2.49982,2.50021,2.49932,2.50077,2.50104,2.50105,2.49818,2.50056,2.50022,21.0991,22.4466,24.9004,26.537,27.8639,28.7527,28.1224,29.4556,35.0681,33.4685,14,24,16,22,30,25,19,26,40,38
0,0,9.18657e-05,2.50088,2.49939,2.49946,2.50143,2.50008,2.49946,2.50045,2.5011,2.49999,2.49991,17.3876,18.0728,19.3224,20.1851,20.7841,21.1933,20.9124,21.6019,24.1149,23.4016,16,8,16,20,14,16,24,26,29,14
0,0,8.49066e-05,2.49899,2.50134,2.50021,2.49924,2.50154,2.49936,2.50164,2.50071,2.50124,2.50014,16.8945,17.5742,18.6721,19.3872,19.989,20.3198,20.0983,20.6782,22.9277,22.2775,13,14,21,26,22,16,19,22,17,29
0,0,3.94691e-05,2.50026,2.50009,2.50117,2.4996,2.50073,2.50069,2.50031,2.50262,2.50128,2.50111,14.1928,14.4371,14.8735,15.1187,15.3359,15.4685,15.3678,15.615,16.357,16.1452,11,13,19,20,16,12,18,15,21,10
0,0,0.000104596,2.49919,2.49991,2.50137,2.50015,2.49975,2.49958,2.50068,2.49951,2.50038,2.50187,18.2333,19.0997,20.6388,21.6161,22.3733,22.8878,22.5422,23.3456,26.5185,25.6678,15,16,19,27,27,22,19,26,29,22
0,0,0.000157862,2.49831,2.50161,2.50219,2.50133,2.50076,2.50071,2.49728,2.499,2.49985,2.49879,22.3792,24.0567,26.9981,28.9792,30.5259,31.5979,30.7238,32.5044,39.3792,37.3644,30,22,19,28,31,35,29,35,41,41
0,0,0.00014154,2.50017,2.50027,2.49852,2.49932,2.4997,2.50059,2.49987,2.49914,2.49945,2.49816,21.0509,22.3962,24.7801,26.4459,27.7329,28.6314,27.986,29.3691,34.8663,33.2509,22,19,22,31,30,25,27,33,31,36
0,0,0.00011672,2.50015,2.50022,2.49865,2.49987,2.5009,2.50157,2.50088,2.49844,2.49952,2.50016,19.1259,20.1282,21.8763,23.095,24.035,24.6739,24.212,25.1483,28.9944,27.9297,23,16,26,21,17,21,24,21,29,25
0,0,0.000139643,2.50047,2.49923,2.50019,2.49983,2.49899,2.50112,2.50001,2.49955,2.4993,2.4988,20.9035,22.1911,24.586,26.1857,27.4089,28.3203,27.6795,29.0363,34.3728,32.8265,27,16,31,30,30,29,28,28,37,34
0,0,3.7077e-05,2.50035,2.50109,2.50088,2.50137,2.50081,2.50143,2.50051,2.50163,2.50082,2.5008,14.0634,14.3037,14.6915,14.9481,15.1255,15.2581,15.1562,15.3691,16.0614,15.8681,12,15,10,20,18,17,14,20,24,22
0,0,0.000120809,2.49964,2.49884,2.49929,2.50025,2.4992,2.4995,2.50107,2.49967,2.49956,2.5002,19.4204,20.4568,22.3449,23.6272,24.5713,25.2378,24.8054,25.828,29.8901,28.7545,27,21,19,17,34,24,35,22,31,27
0,0,9.65449e-05,2.49993,2.4998,2.49897,2.50027,2.50018,2.5007,2.499,2.49947,2.50011,2.49943,17.6879,18.4478,19.7727,20.6855,21.3594,21.8273,21.4644,22.2039,24.9714,24.1811,17,20,23,16,19,21,26,23,27,22
0,0,0.000139097,2.50225,2.50049,2.49901,2.49937,2.50015,2.50017,2.49959,2.50178,2.50102,2.49943,20.8965,22.1671,24.4896,26.0956,27.3539,28.2005,27.5792,29.0025,34.2926,32.7203,22,20,21,29,30,29,29,20,42,28
0,0,4.55739e-05,2.5005,2.49939,2.49954,2.50067,2.49988,2.50013,2.501,2.50022,2.49892,2.49882,14.5348,14.8108,15.312,15.6499,15.8765,16.0399,15.9401,16.1808,17.076,16.8224,12,8,17,18,18,20,19,14,14,16
0,0,0.000124854,2.49856,2.50066,2.50125,2.50061,2.50024,2.50001,2.49987,2.50021,2.49797,2.49948,19.7049,20.8537,22.8486,24.1656,25.1821,25.8743,25.3718,26.5007,30.7536,29.5717,15,23,22,27,29,29,27,14,23,20
0,0,0.000106857,2.49889,2.50121,2.49944,2.50003,2.50069,2.49975,2.49934,2.50097,2.50021,2.49997,18.3876,19.3114,20.8346,21.883,22.6907,23.2061,22.8131,23.7111,26.9632,26.034,24,20,21,21,23,23,33,26,25,26
0,0,0.000139157,2.49971,2.49914,2.50049,2.50164,2.50025,2.50078,2.49952,2.49916,2.50139,2.50048,20.8484,22.1428,24.5333,26.1635,27.3663,28.228,27.587,28.9375,34.3207,32.7687,26,22,29,19,33,33,22,26,33,35
0,0,8.93603e-05,2.499,2.50026,2.50198,2.50004,2.49977,2.49933,2.49999,2.50106,2.49946,2.50051,17.1877,17.8947,19.1287,19.8822,20.4772,20.8726,20.5973,21.2669,23.6573,23.0023,18,21,20,20,25,18,22,16,29,22
0,0,0.000152598,2.50183,2.49948,2.49964,2.49869,2.49827,2.4997,2.50089,2.50135,2.49851,2.50066,22.0061,23.4683,26.2261,28.0805,29.532,30.5793,29.8954,31.531,37.8174,36.0594,22,21,28,28,29,31,28,32,30,31
0,0,0.000135568,2.49815,2.50054,2.49925,2.49827,2.50041,2.49978,2.5018,2.50006,2.50172,2.50114,20.5292,21.8343,24.0647,25.5674,26.8054,27.5957,27.0728,28.3236,33.4282,31.9643,17,24,21,26,24,24,25,36,37,40
0,0,3.95354e-05,2.49998,2.5011,2.4996,2.49935,2.49932,2.49971,2.49865,2.50006,2.50129,2.49817,14.1923,14.4558,14.8551,15.1203,15.3203,15.4595,15.3482,15.5815,16.3651,16.1053,14,16,13,18,12,13,17,14,22,15
0,0,7.21792e-05,2.50183,2.5003,2.49977,2.49852,2.50045,2.49728,2.5008,2.50117,2.49889,2.50063,16.1297,16.6211,17.5073,18.0679,18.5432,18.779,18.6342,19.1124,20.8093,20.3607,11,20,18,29,16,19,16,12,26,13
0,0,0.000259289,2.50104,2.50002,2.50069,2.50079,2.49952,2.49932,2.50076,2.49956,2.50078,2.49878,33.2041,37.15,44.8867,50.4992,54.9835,58.1843,55.9584,61.1373,83.7703,76.8262,49,39,56,49,51,55,40,47,87,70
0,0,0.000110875,2.50038,2.50076,2.50093,2.49971,2.49987,2.50004,2.49985,2.502,2.5002,2.49858,18.7032,19.6391,21.2913,22.3631,23.2081,23.7826,23.3702,24.3364,27.7805,26.7509,29,18,20,24,33,31,22,28,26,25
0,0,-1.37751e-05,2.49986,2.501,2.49958,2.50049,2.49875,2.50183,2.49812,2.5004,2.49958,2.50088,11.5496,11.4933,11.3627,11.3021,11.2309,11.2315,11.214,11.1862,10.9923,11.056,9,9,12,13,13,15,18,13,9,7
0,0,7.97718e-05,2.50016,2.50025,2.49898,2.49989,2.49974,2.5016,2.50037,2.50008,2.5012,2.50178,16.5819,17.1719,18.1741,18.8615,19.3662,19.7443,19.4761,20.0153,22.0683,21.5144,15,21,16,18,9,18,20,24,28,23
0,0,9.99312e-05,2.49992,2.49949,2.50161,2.50069,2.50014,2.50166,2.50022,2.5018,2.49943,2.50088,17.9207,18.7125,20.1653,21.0818,21.7833,22.2991,21.9225,22.7298,25.5904,24.8062,19,12,17,24,22,13,31,16,28,26
0,0,0.000143503,2.50102,2.50079,2.4992,2.4996,2.50087,2.50049,2.50041,2.50026,2.49962,2.50146,21.2292,22.5978,25.0429,26.7396,28.0841,28.9695,28.3259,29.7636,35.3847,33.8296,23,23,27,24,31,22,21,24,41,41
0,0,8.67732e-05,2.5001,2.50033,2.49905,2.49898,2.50146,2.49904,2.50116,2.50056,2.4998,2.49847,17.0356,17.698,18.8265,19.5815,20.2055,20.5434,20.3102,20.9167,23.2146,22.5371,14,19,15,24,19,26,23,27,19,24
