# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/hiim9402.json
# init = 2 (Default)
# random
#   seed = 92123
# output
#   file = /home/lab5/output/code3-20230416112911_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,8.54555e-06,2.50081,2.50102,2.49994,2.50114,2.4985,2.50087,2.50077,2.49856,2.49831,2.49987,12.6016,12.6514,12.7165,12.7812,12.7839,12.8383,12.8199,12.8294,12.9595,12.9436,14,12,11,10,27,8,11,11,10,18
0,0,0.000110538,2.50028,2.50174,2.49838,2.49995,2.49971,2.50095,2.50019,2.50091,2.49976,2.50016,18.6769,19.6298,21.2012,22.3272,23.1589,23.7556,23.3318,24.259,27.6986,26.7292,16,26,17,17,21,31,18,32,33,25
0,0,0.000119255,2.49948,2.49835,2.49849,2.49925,2.49948,2.49983,2.49913,2.50044,2.49946,2.49996,19.3012,20.3106,22.1533,23.4036,24.3573,25.0105,24.5323,25.5993,29.5442,28.4316,19,17,30,23,18,26,22,28,33,29
0,0,0.000110588,2.49994,2.49938,2.49997,2.50084,2.50066,2.5004,2.49914,2.50121,2.49897,2.49947,18.6742,19.5879,21.2403,22.3533,23.1876,23.7499,23.3143,24.2739,27.6873,26.7202,13,29,20,16,26,29,25,23,29,25
0,0,6.88154e-05,2.49832,2.50013,2.50026,2.4998,2.50056,2.50131,2.50023,2.50041,2.49925,2.49796,15.8656,16.3796,17.2221,17.7604,18.1859,18.4759,18.2589,18.7024,20.3027,19.8268,16,21,18,16,14,20,19,17,17,27
0,0,7.73834e-05,2.49809,2.50116,2.49975,2.49855,2.5015,2.50052,2.50028,2.50038,2.50142,2.49986,16.3958,17.0119,17.9709,18.5913,19.1328,19.4407,19.2029,19.7261,21.6848,21.1117,27,14,11,18,25,17,19,28,33,21
0,0,8.8641e-05,2.49965,2.49867,2.49857,2.50108,2.49955,2.49976,2.50081,2.49874,2.50106,2.50088,17.1513,17.8112,18.9949,19.8246,20.3872,20.7912,20.5272,21.1228,23.5689,22.8934,10,17,18,29,16,31,23,20,20,19
0,0,9.57712e-06,2.50048,2.49873,2.49988,2.49841,2.50087,2.49924,2.50125,2.50013,2.50112,2.49938,12.6477,12.6785,12.7818,12.8187,12.8913,12.8973,12.904,12.9323,13.096,13.0325,14,13,4,14,21,11,14,17,8,13
0,0,8.64956e-05,2.49988,2.49911,2.49868,2.49936,2.50064,2.49935,2.50115,2.49982,2.50185,2.50027,17.0135,17.6554,18.7931,19.5591,20.1565,20.5155,20.2769,20.8651,23.2143,22.5333,18,22,27,24,16,16,13,19,23,26
0,0,0.000110157,2.50084,2.50117,2.49949,2.50128,2.50127,2.50091,2.50043,2.49901,2.49886,2.49931,18.6598,19.5866,21.1841,22.3104,23.1436,23.7002,23.2854,24.1557,27.5957,26.6343,18,18,21,19,21,23,25,23,35,27
