# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:11:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/eiq5ownd.json
# init = 2 (Default)
# random
#   seed = 71972
# output
#   file = /home/lab5/output/code1-20230416111117_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99988,0.000376327,31.615,37.2662,48.993,58.1211,65.8807,71.5404,67.4613,76.843,121.161,107.172,29,42,28,68,81,73,79,64,127,94
0,0,2.00013,0.00013402,12.4019,13.1499,14.4956,15.405,16.1081,16.5878,16.2446,17.0156,20.0113,19.1558,7,17,15,12,13,24,14,16,17,16
0,0,2.00003,0.000289774,22.6334,25.6889,31.7129,36.1718,39.8361,42.4461,40.5701,44.8486,63.683,57.9425,20,32,31,41,38,41,44,50,75,50
0,0,2.00018,0.000266902,20.7225,23.2861,28.2727,31.9148,34.8812,36.9808,35.4726,38.9045,53.7348,49.257,24,19,24,27,25,32,39,30,58,47
0,0,2.00013,0.000289734,22.6323,25.6872,31.7099,36.1678,39.8312,42.4404,40.5649,44.8423,63.671,57.9324,23,27,30,36,27,52,48,28,58,62
0,0,1.99991,0.000381416,32.2436,38.0918,50.264,59.7668,67.8611,73.773,69.5115,79.3177,125.835,111.122,35,39,43,64,75,99,71,89,126,116
0,0,2.00007,0.000347311,28.268,32.9011,42.3513,49.5845,55.664,60.0631,56.8954,64.1603,97.6735,87.2177,20,32,55,55,57,67,57,70,99,81
0,0,2.0001,0.000130158,12.2179,12.9329,14.2165,15.0819,15.7499,16.2053,15.8796,16.6111,19.4444,18.6366,12,17,12,11,10,18,12,18,23,19
0,0,2.00007,0.000215019,16.9571,18.6277,21.7795,24.0129,25.7953,27.039,26.1471,28.1665,36.5363,34.0629,15,13,19,26,24,32,30,16,43,23
0,0,1.99993,0.000311767,24.6378,28.2339,35.4165,40.8015,45.2651,48.4636,46.163,51.4212,74.9849,67.7383,27,29,48,51,48,50,48,34,71,66
0,0,1.99995,0.000149126,13.1447,14.0299,15.6364,16.7317,17.5836,18.1673,17.7496,18.6895,22.3852,21.323,17,5,19,18,22,17,22,15,26,20
0,0,2.00001,0.000156924,13.5475,14.5092,16.2626,17.4634,18.4003,19.0436,18.5831,19.6199,23.7225,22.5395,13,18,11,23,17,18,20,26,30,30
0,0,2.00008,0.00022315,17.4984,19.2907,22.6884,25.1075,27.0442,28.3987,27.4271,29.6287,38.813,36.0897,17,16,29,31,19,27,24,30,40,26
0,0,2.00016,0.00011643,11.5875,12.1923,13.2693,13.9895,14.5426,14.9182,14.6496,15.2518,17.5592,16.9053,8,8,11,11,18,15,16,12,17,15
0,0,2.00011,0.000235244,18.3358,20.321,24.1112,26.8289,29.0151,30.5491,29.4483,31.9455,42.4648,39.3299,14,19,28,22,17,26,31,24,40,41
0,0,2.00003,0.000189401,15.3587,16.6841,19.147,20.8663,22.2247,23.166,22.4915,24.0148,30.2001,28.3918,18,16,23,21,13,20,18,27,35,36
0,0,2.00008,0.000310059,24.4796,28.0317,35.1192,40.4277,44.8249,47.9744,45.7091,50.8855,74.0507,66.9315,23,22,32,42,37,64,53,56,66,59
0,0,2.00006,0.000176769,14.6278,15.8025,17.9696,19.4712,20.6517,21.4669,20.883,22.2001,27.4946,25.9549,12,16,17,11,19,27,19,22,26,23
0,0,2.00004,0.000144904,12.9333,13.7788,15.3095,16.3506,17.1589,17.7121,17.3162,18.2066,21.6957,20.6947,17,13,11,15,13,19,17,17,21,27
0,0,1.99995,0.000223548,17.523,19.3212,22.7309,25.159,27.1033,28.4632,27.4877,29.6982,38.9228,36.1872,18,19,31,25,17,28,19,27,50,33
0,0,2.00015,0.000130947,12.2558,12.9776,14.2738,15.1481,15.8232,16.2836,15.9543,16.6938,19.5599,18.7425,9,9,15,18,14,9,14,17,25,14
0,0,1.99992,0.000214548,16.9237,18.5872,21.7247,23.9473,25.7208,26.9582,26.0708,28.0798,36.4031,33.944,25,15,22,20,20,39,29,26,42,36
0,0,1.99982,0.000313357,24.787,28.4247,35.697,41.1544,45.6809,48.9258,46.5916,51.9272,75.8687,68.5011,26,34,45,35,40,55,38,47,99,65
0,0,2.00021,0.000182919,14.9816,16.2284,18.5365,20.1416,21.4066,22.2815,21.6547,23.0695,28.7847,27.1184,8,19,25,24,20,23,14,25,35,29
0,0,1.99994,0.000244783,19.0208,21.1683,25.2914,28.2642,30.6645,32.3533,31.1411,33.8935,45.5773,42.0816,17,23,25,33,31,39,21,43,54,38
0,0,2.00013,0.00010599,11.1291,11.6567,12.5904,13.2111,13.6857,14.0071,13.7774,14.292,16.2477,15.6959,20,10,16,8,12,11,16,10,13,16
0,0,1.99985,0.000244135,18.9716,21.1076,25.2069,28.1615,30.5466,32.2242,31.02,33.7542,45.3544,41.8846,25,13,24,40,33,29,30,34,50,31
0,0,2.00013,0.000301881,23.7195,27.0644,33.7063,38.6575,42.7456,45.6671,43.5663,48.363,69.6868,63.1554,18,22,31,33,30,45,41,64,75,72
0,0,1.99986,0.000211935,16.7529,18.3786,21.4401,23.6055,25.3316,26.5351,25.6721,27.6254,35.7009,33.3176,17,13,24,24,17,28,26,24,43,36
0,0,1.99998,0.000193767,15.6193,16.9995,19.5711,21.3708,22.7952,23.7833,23.0751,24.6752,31.195,29.2854,17,22,16,21,23,27,21,31,28,31
0,0,1.99987,0.000279996,21.7909,24.6272,30.187,34.2789,37.6287,40.0083,38.2984,42.1943,59.2095,54.0442,23,30,28,33,43,34,28,43,53,52
0,0,1.99998,0.000260558,20.2168,22.6549,27.3797,30.8179,33.6113,35.585,34.1675,37.391,51.2494,47.076,18,23,30,33,34,44,34,41,46,44
0,0,2.00001,0.000182764,14.9697,16.2144,18.5185,20.1206,21.3832,22.2564,21.6308,23.0428,28.746,27.0833,18,10,23,29,20,23,27,17,27,31
0,0,2.00004,0.000234399,18.2747,20.2459,24.0073,26.703,28.8708,30.3915,29.3003,31.7756,42.1959,39.0916,21,24,18,29,29,24,33,26,49,49
0,0,1.99997,9.1678e-05,10.5289,10.9593,11.7146,12.2125,12.591,12.8464,12.664,13.0721,14.6057,14.1756,10,11,20,24,17,7,18,9,16,18
0,0,2.00011,0.000291417,22.7793,25.8731,31.9785,36.502,40.2218,42.8725,40.9671,45.3132,64.4709,58.628,22,19,25,32,35,37,48,48,65,61
0,0,1.99996,0.000212958,16.8207,18.4613,21.5526,23.7404,25.4851,26.7018,25.8293,27.8044,35.9767,33.5638,18,14,31,34,20,16,25,23,35,27
0,0,2.00016,0.000168748,14.1829,15.2683,17.2611,18.6355,19.7127,20.4548,19.9234,21.1212,25.9057,24.5191,16,17,17,16,20,21,26,28,25,24
0,0,2.00002,0.000206251,16.3916,17.9376,20.8393,22.885,24.512,25.6445,24.8325,26.6694,34.2293,32.0034,10,16,25,18,25,25,27,29,29,39
0,0,1.99997,0.000154258,13.4082,14.3432,16.0454,17.2094,18.1166,18.739,18.2935,19.2964,23.2562,22.1156,10,10,14,13,20,8,21,15,21,19
0,0,2.0001,0.000129937,12.2074,12.9207,14.2007,15.0636,15.7297,16.1838,15.859,16.5883,19.4126,18.6074,12,15,12,17,13,22,19,21,24,10
0,0,2.00001,0.000201667,16.1038,17.5874,20.3645,22.3171,23.8673,24.945,24.1724,25.9193,33.0826,30.9776,16,17,25,28,22,31,23,27,26,30
0,0,2.00001,0.000291842,22.8145,25.9179,32.0437,36.5835,40.3173,42.9783,41.0655,45.4288,64.6685,58.7995,27,30,24,39,38,47,49,42,61,67
0,0,2.00005,0.000237543,18.4983,20.5217,24.3901,27.1676,29.4039,30.974,29.8472,32.404,43.1943,39.9756,18,22,23,32,24,35,32,31,51,31
0,0,2.00007,0.000179417,14.7783,15.9837,18.2106,19.756,20.9723,21.8128,21.2107,22.5692,28.0413,26.4483,15,11,20,18,19,19,17,28,20,24
0,0,2.00001,0.000295879,23.1732,26.3718,32.7008,37.4021,41.2749,44.038,42.0515,46.5846,66.6386,60.5111,25,20,34,44,34,41,42,37,57,51
0,0,1.99987,0.000144179,12.895,13.7336,15.2513,16.283,17.0838,17.6318,17.2397,18.1215,21.5755,20.5848,13,18,16,10,25,17,22,13,22,14
0,0,2.00005,9.13505e-05,10.5165,10.9448,11.6963,12.1916,12.5682,12.8221,12.6407,13.0466,14.5714,14.1439,10,11,10,11,17,18,11,12,15,11
0,0,2.00004,0.000273018,21.2149,23.9032,29.1512,32.998,36.1386,38.3652,36.7655,40.4079,56.2258,51.4378,15,27,24,29,30,32,46,43,85,41
0,0,1.99993,0.000222637,17.4612,19.2454,22.6266,25.0333,26.9597,28.3068,27.3405,29.5299,38.6595,35.953,20,19,18,28,33,19,17,23,40,33
0,0,2.00007,0.000357955,29.4544,34.4418,44.679,52.5631,59.2173,64.0463,60.5679,68.5537,105.715,94.0709,26,29,65,58,58,50,63,65,105,93
0,0,1.99998,0.000109418,11.2759,11.8281,12.8075,13.4598,13.9592,14.2978,14.0558,14.5981,16.6646,16.0807,9,9,11,10,12,13,15,16,19,22
0,0,1.99996,0.000264195,20.5025,23.0117,27.8845,31.4379,34.329,36.3739,34.9052,38.2463,52.653,48.3079,30,25,24,35,32,37,38,31,45,51
