# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:12:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/qcz3xphu.json
# init = 2 (Default)
# random
#   seed = 39725
# output
#   file = /home/lab5/output/code1-20230416111236_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,2.0002,0.000185357,15.1233,16.3993,18.765,20.4125,21.7121,22.6116,21.9672,23.4221,29.311,27.5923,15,15,17,14,25,15,23,20,31,45
0,0,2.00003,0.00023174,18.0878,20.0155,23.6884,26.3165,28.4277,29.9077,28.8458,31.2539,41.3698,38.3596,16,16,20,20,29,32,23,40,42,45
0,0,1.99983,0.00020686,16.427,17.9812,20.8992,22.9571,24.5942,25.734,24.9168,26.7656,34.378,32.1361,23,23,22,28,20,27,26,26,36,27
0,0,1.99987,0.000185348,15.1178,16.3932,18.7579,20.4047,21.7038,22.6029,21.9587,23.413,29.2993,27.5814,13,15,20,25,23,19,12,29,19,33
0,0,2.00009,0.000218581,17.1924,18.9156,22.1734,24.4867,26.3355,27.6268,26.7006,28.7983,37.5172,34.9368,13,15,16,26,25,43,32,24,51,36
0,0,2.00029,0.000319293,25.3737,29.173,36.7953,42.5351,47.3068,50.7331,48.268,53.9062,79.3278,71.4859,28,34,40,50,53,54,58,54,97,73
0,0,2.00002,0.000106962,11.1698,11.7043,12.6507,13.2802,13.7618,14.0879,13.8548,14.3772,16.3637,15.803,7,11,6,9,16,16,11,12,22,12
0,0,1.99994,0.000214698,16.934,18.5997,21.7417,23.9677,25.744,26.9833,26.0946,28.1068,36.4448,33.9811,15,19,21,23,27,35,22,21,39,31
0,0,2.00015,0.000194301,15.6542,17.0414,19.627,21.437,22.8698,23.864,23.1515,24.7614,31.3242,29.4016,17,14,13,19,25,25,31,33,31,24
0,0,1.99989,0.000193985,15.631,17.0138,19.5907,21.3943,22.8219,23.8123,23.1025,24.7063,31.2426,29.328,20,19,21,18,26,26,22,25,34,34
0,0,1.99987,-5.62467e-06,7.22929,7.21155,7.18212,7.1638,7.1504,7.14159,7.14786,7.13397,7.08558,7.09858,6,10,9,7,8,5,9,3,4,9
0,0,1.99996,3.40898e-05,8.42872,8.55523,8.76991,8.90669,9.00837,9.07588,9.02774,9.13486,9.51954,9.41433,10,14,14,11,10,9,9,10,10,8
